Date,Last Price,Volume,SMAVG (15)
04/15/2013,43.3,1685984,3376166
04/16/2013,45.59,3180438,3429571
04/17/2013,45.45,2118428,3450258
04/18/2013,46.97,3368700,3588419
04/19/2013,47.83,3012136,3711984
04/22/2013,50.19,3939327,3034215
04/23/2013,51.01,3737550,2839893
04/24/2013,50.43,2630108,2638900
04/25/2013,52,2796207,2674323
04/26/2013,51.2,3622430,2812326
04/29/2013,54.94,3642206,2943206
04/30/2013,53.99,5523948,3198400
05/1/2013,53.28,2742778,3239846
05/2/2013,54.11,3052333,3213463
05/3/2013,54.55,3379403,3228799
05/6/2013,59.5,4372799,3407920
05/7/2013,55.51,9994549,3862194
05/8/2013,55.786,6769859,4172289
05/9/2013,69.4,28604970,5854707
05/10/2013,76.764,25086430,7326327
05/13/2013,87.8,22416816,8558159
05/14/2013,83.24,37163896,10786582
05/15/2013,84.842,16878700,11736488
05/16/2013,92.248,21614002,12991008
05/17/2013,91.5,19008450,14016743
05/20/2013,89.94,8348331,14330484
05/21/2013,87.59,9001763,14562339
05/22/2013,87.24,8573776,14951072
05/23/2013,92.73,12044257,15550533
05/24/2013,97.08,16124194,16400186
05/28/2013,110.334,19691824,17421454
05/29/2013,104.629,25099480,18428450
05/30/2013,104.95,16140554,19053162
05/31/2013,97.76,15171929,18157626
06/3/2013,92.59,19143476,17761430
06/4/2013,94.84,8856045,16857378
06/5/2013,95.37,12224731,15194767
06/6/2013,97.35,9514406,14703815
06/7/2013,102.04,10717217,13977362
06/10/2013,100.05,9234215,13325747
06/11/2013,94.47,7396040,13262260
06/12/2013,97.73,9197523,13275311
06/13/2013,98.18,5965124,13101401
06/14/2013,100.3,6567421,12736279
06/17/2013,102.2,7075640,12133042
06/18/2013,103.39,8803563,11407158
06/19/2013,104.68,8588734,10306441
06/20/2013,100.65,10111221,9904486
06/21/2013,99.55,11718527,9674259
06/24/2013,101.49,7127020,8873162
06/25/2013,102.4,5850832,8672814
06/26/2013,105.72,6610159,8298510
06/27/2013,109.25,8750826,8247604
06/28/2013,107.36,5750431,7916485
07/1/2013,117.179,10903601,8027778
07/2/2013,117.82,12070315,8339396
07/3/2013,115.24,4806662,8046672
07/5/2013,120.09,6827497,8104164
07/8/2013,121.61,7820816,8187723
